                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.2638,                   1.62,                 1.6883,                0.63505,                  0.645,                 0.6453,                0.32416,                 1.9025,                 1.6697,                 2.5734,              0.0012055,              0.0012055,              0.0012055
                     81,                 1.2161,                 1.5449,                 1.6688,                0.78154,                0.48586,                0.62152,                0.29099,                 1.9797,                 1.9535,                 2.6179,              0.0012026,              0.0012026,              0.0012026
                     82,                 1.2623,                 1.5851,                  1.692,                0.66909,                0.59332,                0.70014,                0.35786,                 1.8448,                 1.3565,                 2.3902,              0.0011998,              0.0011998,              0.0011998
                     83,                 1.2247,                 1.5089,                 1.6711,                0.62678,                0.60283,                 0.6449,                0.32206,                 1.9878,                 1.5688,                 2.5445,               0.001197,               0.001197,               0.001197
                     84,                 1.2264,                 1.5162,                 1.6773,                0.68313,                0.51802,                0.61205,                 0.3291,                 1.7437,                 1.6415,                 2.2961,              0.0011942,              0.0011942,              0.0011942
                     85,                 1.2587,                 1.5189,                 1.7077,                 0.7468,                0.58671,                0.67053,                 0.3179,                 1.9021,                 1.4022,                 2.4062,              0.0011913,              0.0011913,              0.0011913
                     86,                 1.2087,                  1.519,                 1.6512,                0.75271,                0.58329,                0.66785,                0.31516,                 1.9131,                 1.3324,                 2.5128,              0.0011885,              0.0011885,              0.0011885
                     87,                 1.2327,                 1.5072,                 1.6728,                0.57637,                0.61678,                 0.6284,                0.33223,                 1.9233,                 1.5599,                 2.4924,              0.0011857,              0.0011857,              0.0011857
                     88,                 1.2203,                 1.4995,                 1.6795,                0.70547,                0.53351,                0.60808,                0.33518,                 1.7444,                 1.4658,                 2.3581,              0.0011828,              0.0011828,              0.0011828
                     89,                 1.2361,                 1.5124,                 1.6897,                0.61469,                0.66813,                0.67788,                0.33884,                 1.8732,                 1.3862,                 2.4801,                0.00118,                0.00118,                0.00118
                     90,                 1.2309,                 1.4749,                 1.6607,                0.61531,                0.68644,                0.68821,                0.34573,                 1.9194,                 1.4994,                 2.5411,              0.0011772,              0.0011772,              0.0011772
                     91,                 1.1907,                  1.466,                 1.6305,                0.63106,                0.65019,                0.64104,                0.31754,                 1.8849,                  1.558,                 2.5303,              0.0011744,              0.0011744,              0.0011744
                     92,                 1.2375,                 1.4686,                 1.6666,                0.56183,                0.64312,                0.58045,                0.26539,                 1.8364,                 1.4793,                 2.5522,              0.0011715,              0.0011715,              0.0011715
                     93,                 1.1915,                 1.4817,                  1.638,                0.61799,                0.66139,                0.68068,                0.33502,                  1.983,                 1.2897,                 2.6644,              0.0011687,              0.0011687,              0.0011687
                     94,                 1.2174,                 1.4274,                 1.6719,                0.52427,                  0.685,                0.63977,                0.33914,                 1.8554,                 1.4161,                 2.5604,              0.0011659,              0.0011659,              0.0011659
                     95,                 1.2279,                 1.4639,                 1.6661,                0.65483,                0.60458,                0.67703,                 0.3435,                 1.9319,                 1.4359,                 2.5152,               0.001163,               0.001163,               0.001163
                     96,                 1.2331,                 1.4732,                 1.6675,                0.59853,                0.66229,                0.64364,                0.31738,                 2.0557,                 1.5937,                 2.7489,              0.0011602,              0.0011602,              0.0011602
                     97,                 1.2016,                 1.4934,                 1.6458,                0.59508,                0.59262,                0.63542,                0.30654,                  2.017,                 1.7643,                 2.6404,              0.0011574,              0.0011574,              0.0011574
                     98,                  1.208,                 1.4503,                 1.6496,                0.65774,                0.65034,                0.67975,                0.36773,                 1.8001,                 1.3449,                 2.3739,              0.0011545,              0.0011545,              0.0011545
                     99,                 1.1749,                 1.4122,                 1.6328,                0.72202,                0.56107,                0.64445,                0.34728,                 1.7308,                 1.4364,                   2.39,              0.0011517,              0.0011517,              0.0011517
                    100,                 1.2089,                 1.4212,                 1.6474,                0.63114,                0.63231,                0.66606,                0.34519,                 1.8152,                 1.3825,                 2.4281,              0.0011489,              0.0011489,              0.0011489
                    101,                 1.1647,                 1.4033,                 1.6315,                0.66619,                0.63341,                0.68496,                 0.3625,                 1.9055,                 1.2144,                  2.625,              0.0011461,              0.0011461,              0.0011461
                    102,                 1.2103,                 1.4673,                 1.6533,                0.81218,                0.56863,                0.70723,                0.37885,                 1.7574,                 1.3101,                 2.4271,              0.0011432,              0.0011432,              0.0011432
                    103,                 1.1839,                 1.4125,                  1.635,                0.66438,                0.57669,                0.65706,                 0.3244,                 1.9379,                 1.3827,                 2.6202,              0.0011404,              0.0011404,              0.0011404
                    104,                  1.152,                 1.4078,                 1.6245,                0.69531,                0.57252,                0.67576,                0.35239,                 1.7292,                   1.31,                 2.3636,              0.0011376,              0.0011376,              0.0011376
                    105,                 1.1665,                 1.3868,                 1.6222,                0.62658,                0.68982,                0.65158,                0.30302,                 2.1996,                   1.51,                  2.873,              0.0011347,              0.0011347,              0.0011347
                    106,                 1.1863,                 1.4036,                 1.6132,                0.73045,                0.59663,                0.71513,                0.34553,                 1.8343,                 1.5942,                 2.4549,              0.0011319,              0.0011319,              0.0011319
                    107,                  1.194,                 1.3415,                 1.6333,                0.64765,                0.59037,                0.68382,                0.33972,                 1.8583,                 1.4201,                 2.4475,              0.0011291,              0.0011291,              0.0011291
                    108,                 1.1764,                 1.3623,                 1.6217,                0.73779,                0.65587,                0.74217,                0.39635,                 1.8414,                 1.3771,                 2.5101,              0.0011263,              0.0011263,              0.0011263
                    109,                  1.164,                 1.4004,                 1.6137,                0.68204,                0.66388,                0.70957,                0.35357,                 1.8721,                 1.1581,                 2.5904,              0.0011234,              0.0011234,              0.0011234
                    110,                  1.124,                 1.3207,                 1.5693,                0.77011,                0.61055,                 0.7045,                 0.3628,                 1.9555,                 1.6003,                 2.5593,              0.0011206,              0.0011206,              0.0011206
                    111,                  1.195,                 1.3727,                 1.6585,                 0.6792,                0.58161,                0.67832,                0.35614,                 1.8322,                 1.3728,                 2.5006,              0.0011178,              0.0011178,              0.0011178
                    112,                 1.1448,                 1.3652,                 1.5987,                0.67702,                 0.6742,                0.67726,                0.34399,                 1.9341,                 1.3599,                  2.643,              0.0011149,              0.0011149,              0.0011149
                    113,                 1.1426,                 1.3303,                 1.5979,                0.67523,                0.66377,                0.71382,                0.36237,                 1.7457,                 1.5845,                 2.4737,              0.0011121,              0.0011121,              0.0011121
                    114,                 1.1145,                  1.296,                 1.5688,                0.74463,                0.69375,                0.76401,                0.40709,                 1.7886,                 1.3763,                 2.3742,              0.0011093,              0.0011093,              0.0011093
                    115,                 1.1717,                 1.3132,                 1.6169,                0.82849,                0.62325,                0.73298,                0.39082,                 1.9129,                 1.2794,                 2.6271,              0.0011064,              0.0011064,              0.0011064
                    116,                 1.1248,                   1.28,                 1.5795,                0.70039,                0.64616,                0.71466,                0.35079,                 1.9877,                 1.5487,                 2.6864,              0.0011036,              0.0011036,              0.0011036
                    117,                 1.1436,                 1.3014,                 1.5897,                0.61499,                 0.6405,                0.66594,                0.36431,                 1.8038,                 1.3634,                 2.5046,              0.0011008,              0.0011008,              0.0011008
                    118,                 1.1166,                 1.2991,                 1.5769,                0.79347,                 0.6373,                0.73702,                0.36088,                 2.0363,                 1.4206,                 2.7257,               0.001098,               0.001098,               0.001098
                    119,                 1.1285,                 1.3054,                 1.5853,                0.71737,                0.68017,                0.73294,                0.39166,                 1.7826,                 1.3818,                  2.488,              0.0010951,              0.0010951,              0.0010951
                    120,                 1.0904,                  1.258,                  1.546,                0.73158,                0.68174,                0.70626,                0.40143,                 1.6938,                 1.5025,                 2.3571,              0.0010923,              0.0010923,              0.0010923
                    121,                 1.0887,                 1.2891,                 1.5387,                0.78018,                0.60713,                 0.7189,                0.39082,                 1.8848,                 1.2609,                 2.5645,              0.0010895,              0.0010895,              0.0010895
                    122,                 1.0889,                 1.2139,                 1.5474,                0.77046,                0.61396,                0.73695,                0.41702,                 1.7616,                  1.202,                 2.4721,              0.0010866,              0.0010866,              0.0010866
                    123,                 1.1128,                 1.2646,                  1.572,                0.70632,                0.62768,                0.66703,                0.36754,                 1.8442,                 1.3334,                 2.5948,              0.0010838,              0.0010838,              0.0010838
                    124,                 1.0974,                 1.2222,                 1.5479,                0.70409,                0.67178,                0.72088,                0.37718,                 1.8435,                 1.4003,                 2.4459,               0.001081,               0.001081,               0.001081
                    125,                 1.1121,                 1.2734,                 1.5668,                0.75985,                0.64118,                0.72127,                0.41042,                 1.8163,                 1.4084,                   2.53,              0.0010782,              0.0010782,              0.0010782
                    126,                 1.1158,                 1.2676,                 1.5695,                0.47607,                0.70862,                 0.5691,                0.32187,                 1.8341,                 1.5461,                 2.5911,              0.0010753,              0.0010753,              0.0010753
                    127,                 1.0859,                  1.274,                 1.5611,                 0.6684,                 0.6136,                0.64453,                0.33194,                 1.9799,                 1.5168,                 2.7233,              0.0010725,              0.0010725,              0.0010725
                    128,                 1.0723,                 1.1985,                 1.5408,                  0.717,                 0.7174,                0.73499,                0.38637,                 1.8398,                 1.1302,                 2.5541,              0.0010697,              0.0010697,              0.0010697
                    129,                 1.0775,                  1.235,                 1.5424,                 0.7501,                0.72325,                0.76997,                0.43155,                  1.805,                 1.2083,                 2.4024,              0.0010668,              0.0010668,              0.0010668
                    130,                 1.0914,                 1.2421,                 1.5499,                0.74336,                0.68408,                0.77063,                0.40896,                 1.8628,                 1.2678,                 2.5471,               0.001064,               0.001064,               0.001064
                    131,                 1.0513,                 1.1694,                 1.5227,                0.82702,                0.62879,                0.76236,                0.37879,                 1.9105,                 1.2623,                 2.5814,              0.0010612,              0.0010612,              0.0010612
                    132,                 1.0519,                 1.1965,                 1.5244,                0.71479,                0.67251,                0.72622,                0.39565,                 1.8816,                  1.209,                 2.6715,              0.0010583,              0.0010583,              0.0010583
                    133,                 1.0709,                 1.2144,                 1.5328,                 0.7466,                0.71845,                0.76429,                0.42439,                 1.8774,                 1.3076,                 2.5492,              0.0010555,              0.0010555,              0.0010555
                    134,                 1.1373,                 1.2277,                 1.5691,                0.64106,                0.73901,                0.72458,                0.41141,                 1.8434,                 1.2074,                 2.6784,              0.0010527,              0.0010527,              0.0010527
                    135,                 1.0756,                 1.2721,                 1.5507,                0.68017,                0.71512,                0.73576,                0.39449,                   1.82,                 1.1969,                 2.5945,              0.0010499,              0.0010499,              0.0010499
                    136,                 1.0674,                 1.2307,                 1.5279,                0.77373,                0.61735,                0.71815,                0.38946,                 1.9785,                 1.2859,                 2.7002,               0.001047,               0.001047,               0.001047
                    137,                 1.0829,                 1.2402,                 1.5201,                0.70105,                0.63816,                0.67967,                0.38095,                  1.777,                 1.2099,                 2.6108,              0.0010442,              0.0010442,              0.0010442
                    138,                 1.0745,                 1.1993,                 1.5218,                0.71269,                0.67476,                0.73153,                0.39092,                 1.8492,                 1.3327,                 2.4895,              0.0010414,              0.0010414,              0.0010414
                    139,                  1.058,                 1.1399,                 1.4956,                0.70789,                0.69557,                0.71296,                0.37162,                 1.8502,                  1.602,                 2.5207,              0.0010385,              0.0010385,              0.0010385
                    140,                 1.0541,                 1.1489,                 1.5241,                0.69511,                0.73621,                0.78217,                0.42688,                 1.7122,                 1.3265,                 2.3866,              0.0010357,              0.0010357,              0.0010357
                    141,                 1.0777,                 1.1794,                 1.5351,                0.81358,                0.67481,                0.74945,                0.39344,                  1.866,                 1.2083,                 2.5455,              0.0010329,              0.0010329,              0.0010329
                    142,                 1.0582,                  1.148,                 1.5316,                0.76658,                0.65598,                  0.755,                0.41662,                 1.8428,                 1.1869,                 2.5652,              0.0010301,              0.0010301,              0.0010301
                    143,                 1.0635,                 1.2051,                  1.537,                0.79479,                0.74008,                0.75605,                0.44521,                 1.7049,                 1.2755,                 2.4666,              0.0010272,              0.0010272,              0.0010272
                    144,                 1.0562,                 1.1661,                 1.5229,                0.72557,                 0.7233,                0.72555,                0.38861,                 1.8132,                 1.2379,                 2.4926,              0.0010244,              0.0010244,              0.0010244
                    145,                 1.0473,                 1.1424,                 1.5118,                0.76391,                0.69571,                0.78039,                0.40675,                 1.8572,                 1.1283,                 2.5848,              0.0010216,              0.0010216,              0.0010216
                    146,                 1.0591,                 1.1323,                 1.4962,                0.76072,                0.59378,                0.72585,                0.39527,                 1.8349,                 1.1759,                  2.618,              0.0010187,              0.0010187,              0.0010187
                    147,                 1.0776,                 1.1834,                 1.5227,                0.65104,                0.69646,                0.68739,                0.36142,                 1.9047,                 1.2544,                 2.6454,              0.0010159,              0.0010159,              0.0010159
                    148,                 1.0486,                 1.1648,                 1.5224,                0.66277,                0.74817,                0.73668,                0.41887,                 1.8045,                 1.1271,                 2.5227,              0.0010131,              0.0010131,              0.0010131
                    149,                 1.0547,                 1.1401,                 1.5168,                0.65297,                0.64095,                0.73555,                0.38937,                 1.8904,                 1.1718,                 2.6622,              0.0010102,              0.0010102,              0.0010102
                    150,                 1.0408,                 1.1274,                 1.5086,                0.74879,                0.61936,                0.74486,                0.36214,                 1.9477,                 1.1489,                 2.7887,              0.0010074,              0.0010074,              0.0010074
